"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total N2O/cap"
1970,891798134,45729181,2973358,12397988,11100270,412890715,34180071,43723239,0.393
1971,906794545,45760854,3117505,11584259,11240278,418058877,34791768,44416307,0.391
1972,916548531,47350366,3307259,11871221,11853623,429106436,37095585,45069140,0.39
1973,928346527,49454995,3716503,12287900,12610785,456801389,39282634,46143266,0.394
1974,936495179,49995812,3771094,12354813,12751199,471303599,39576460,46973226,0.393
1975,970617383,54590919,3596739,12250507,13214322,455452685,40013271,48024457,0.392
1976,998349953,56741520,3861505,12750824,14157153,472724971,41419453,48850943,0.397
1977,1022157516,58589217,3875526,13470289,15003944,475837028,42727074,49672303,0.398
1978,1051733399,60596872,3997542,13729394,15637727,487307309,44515661,51722356,0.402
1979,1079083893,62452794,3975074,14039275,16223251,480690795,45395523,52888692,0.401
1980,1102436313,62613583,3829687,14010195,16868250,455446594,45012031,53453387,0.393
1981,1109777213,62315205,3450444,13957841,17058138,437088208,45434482,55184141,0.384
1982,1147055687,64404422,3462899,13977188,17653601,414136148,44415359,56295115,0.381
1983,1178642307,65682473,3460265,14100410,18331892,432204183,44572405,57821736,0.386
1984,1210445900,66698954,3474439,15007122,18973847,425286386,45880318,59367865,0.386
1985,1206454724,67614398,3622332,14665429,19751742,404684522,46392813,60517993,0.374
1986,1231941390,68497665,3620194,14794461,20315034,393815483,48176503,62146323,0.371
1987,1253558288,69993127,3682747,15450513,20817035,398806509,50037280,63524522,0.371
1988,1280204641,71441097,3858090,15756242,21968355,385985881,51807173,64914215,0.368
1989,1296192999,72122752,4083102,14090189,25608114,379742048,53086001,66317280,0.365
1990,1304899085,66159103,3903467,14484241,27768457,346156110,53102833,67060889,0.353
1991,1300958944,66634015,4040936,14466349,29034461,347542573,54369818,68729217,0.348
1992,1306654396,66465997,4052073,14539796,29754264,349782887,57131931,71019107,0.345
1993,1304611523,66038947,4123473,14310295,30621779,348910126,57170623,72847044,0.34
1994,1320140964,66513640,4351694,14691252,31614507,363277520,60460538,75081339,0.342
1995,1351849828,68682317,4441550,15413196,33142038,382790771,64323873,76865179,0.347
1996,1385111492,66831727,4528161,15352430,34704871,393671896,69623915,78885727,0.351
1997,1353537387,69854610,4647848,15561142,35938268,385057053,74926463,80409762,0.342
1998,1375276957,69376781,4671069,15876885,36761102,362965485,81474879,82344871,0.339
1999,1390297982,70133812,4589346,16209913,37021644,344021030,88966786,83895925,0.336
2000,1388740445,65511873,4685394,16264954,40119260,350797115,73536294,84646614,0.33
2001,1389506495,65189069,4902586,16190937,42075772,344545803,74966231,86313171,0.325
2002,1409774163,64814225,4938440,16266744,43987172,339372756,78154641,87475316,0.325
2003,1427586333,65502710,5411023,17297167,47291582,345354392,81365700,89309820,0.326
2004,1464444401,67880713,5466259,19197335,50442866,363406363,86322568,90725224,0.333
2005,1472259545,69424235,5719292,20949320,52061262,374447120,86849742,92041267,0.332
2006,1502847908,69922570,5785932,22080835,55498355,373754089,90582600,94174326,0.334
2007,1524342969,69109189,6255601,22882285,60906490,392882633,94139864,96467205,0.338
2008,1519765519,69232737,6526350,23306276,62420362,365686330,95516490,98367885,0.33
2009,1556411296,67691177,6572259,23345248,61919794,332914304,90582700,100311841,0.326
2010,1561302830,69354777,6961670,25095076,65795669,343173852,94921831,102239301,0.326
2011,1596107708,69007922,7933018,25715190,69470767,360773181,96229840,104429720,0.331
2012,1608228833,68458720,8222759,25945046,70659441,374692586,97546518,106251548,0.331
2013,1632522955,68777483,8393799,26166433,72917947,376254252,97818547,108441433,0.332
2014,1626974649,69054039,8014370,26218647,74190856,377567253,99396521,110266678,0.328
2015,1643980601,68033828,8022156,25895386,71792336,376203483,101018934,112480121,0.326
2016,1659722043,67341986,7708720,25365524,72934077,376550752,102374449,114776275,0.325
2017,1658084898,68249815,7676388,25023274,76201750,379225210,105013588,116946325,0.323
2018,1661801848,68474143,7784123,24913290,79686666,383946377,106975725,118366330,0.321
2019,1690732392,67961024,7947535,24657630,80632232,383914429,108522331,119622091,0.322
2020,1719246445,66685758,7467485,24831537,77328504,383169423,96959415,120935297,0.32
2021,1735629169,68509434,7578589,25639218,82771134,402154637,104219534,122627993,0.324
2022,1753569627,69753679,7618490,25899784,82952431,399441299,107517225,124364486,0.323